Month,Alpha NW T-stat,Beta NW T-stat
01/01/1948,-1.018710539,0.417957272
01/02/1948,-0.923211771,-4.636965655
01/03/1948,1.326254268,0.6220496
01/04/1948,1.61253363,-0.212730975
01/05/1948,1.359615534,3.019277217
01/06/1948,0.263251837,-1.050264534
01/07/1948,-0.755750751,-1.857545084
01/08/1948,-1.450201486,1.44834217
01/09/1948,-0.490256736,-1.681195946
01/10/1948,0.828049172,1.176662179
01/11/1948,-0.868768929,-3.725354107
01/12/1948,0.793325463,-0.398423488
01/01/1949,2.285024004,-1.668650918
01/02/1949,0.74174106,-2.897367955
01/03/1949,0.22051312,2.016798607
01/04/1949,-1.075053853,-0.139268951
01/05/1949,1.200566653,-3.582752506
01/06/1949,-1.138572255,0.801701815
01/07/1949,2.384147051,0.282477714
01/08/1949,0.003281704,1.08152169
01/09/1949,1.150312618,0.857224511
01/10/1949,1.39813444,-0.132515643
01/11/1949,0.653540417,-0.332608975
01/12/1949,0.847904607,1.190377181
01/01/1950,0.287590829,0.824490538
01/02/1950,2.533957304,-1.636688486
01/03/1950,0.499092766,-0.83626852
01/04/1950,-1.787312829,3.316663647
01/05/1950,3.485020875,-2.112340156
01/06/1950,-1.742537703,-5.205115352
01/07/1950,-1.075016714,1.628355505
01/08/1950,0.909392865,1.503167556
01/09/1950,1.56966722,0.048802615
01/10/1950,0.438289942,-0.419881927
01/11/1950,-0.351598738,1.187112662
01/12/1950,-0.180834706,2.82665771
01/01/1951,0.185894206,1.580232764
01/02/1951,1.528914927,-0.948864542
01/03/1951,0.334470434,-2.210642804
01/04/1951,-1.478725882,3.193367498
01/05/1951,0.936221887,-3.726509588
01/06/1951,1.595441332,-3.375100549
01/07/1951,0.610699845,2.258429987
01/08/1951,-0.760061561,3.936596781
01/09/1951,-1.384488347,2.94338082
01/10/1951,-0.621145923,-0.89893165
01/11/1951,0.448667042,-0.004757447
01/12/1951,0.279457486,0.616699713
01/01/1952,3.57926234,-1.477914409
01/02/1952,0.70918122,-2.13789339
01/03/1952,-0.10516021,1.213287839
01/04/1952,0.353848302,-2.395281366
01/05/1952,1.962313162,0.242629818
01/06/1952,-0.95167879,3.10279294
01/07/1952,-0.04112926,0.618039217
01/08/1952,2.914344544,-2.247387874
01/09/1952,0.969449746,-1.925001813
01/10/1952,-1.789903578,0.699647519
01/11/1952,2.869811663,1.155317907
01/12/1952,-0.622407695,1.797353555
01/01/1953,2.830039957,-0.276092042
01/02/1953,2.094753958,-1.499999677
01/03/1953,0.024878811,-0.391348595
01/04/1953,-0.851122673,-0.736740844
01/05/1953,0.404427825,-0.012577184
01/06/1953,-1.390343182,-1.696753229
01/07/1953,1.450498556,-0.271413537
01/08/1953,1.329927169,-5.202544086
01/09/1953,-0.587238449,-0.79948891
01/10/1953,-0.375339461,2.467742846
01/11/1953,3.061668312,-1.298393077
01/12/1953,2.567716685,-4.555476155
01/01/1954,0.785306245,3.913421635
01/02/1954,0.973284046,0.422964878
01/03/1954,-1.991781336,3.43920778
01/04/1954,-0.98406738,1.849038091
01/05/1954,-0.237898891,4.475914929
01/06/1954,0.877074534,0.067962712
01/07/1954,3.853127532,-0.199026459
01/08/1954,1.702724548,-2.902897107
01/09/1954,2.055265836,1.945085927
01/10/1954,-2.694014618,1.92975127
01/11/1954,0.453377658,5.509739872
01/12/1954,3.674483639,1.601318936
01/01/1955,0.703941578,0.155180118
01/02/1955,-1.392726859,4.182073678
01/03/1955,-1.890220921,1.739706953
01/04/1955,2.671942948,-1.172732802
01/05/1955,-1.037634617,1.498120526
01/06/1955,-0.752085699,2.605089629
01/07/1955,1.704550538,-1.681203791
01/08/1955,-3.770044483,2.897984019
01/09/1955,-2.964281583,0.967618163
01/10/1955,-0.808943529,-0.853024244
01/11/1955,-1.371448154,5.598523015
01/12/1955,-0.47865516,2.206462482
01/01/1956,0.166646454,-2.013403806
01/02/1956,-0.803445971,3.281436557
01/03/1956,0.045554504,1.538769392
01/04/1956,-1.609678584,2.144500364
01/05/1956,0.666315445,-4.165017498
01/06/1956,0.329294351,2.243445602
01/07/1956,-0.637967064,3.541857326
01/08/1956,1.125703931,-2.199654196
01/09/1956,-1.950893378,-2.232709486
01/10/1956,0.176999739,0.472307819
01/11/1956,-0.624328962,0.840468084
01/12/1956,-0.49600708,2.071241552
01/01/1957,4.395545271,-2.86653745
01/02/1957,0.323019033,-3.778010905
01/03/1957,1.80253568,0.4649407
01/04/1957,2.051810628,0.095128386
01/05/1957,-1.836643982,3.05870537
01/06/1957,-0.287225708,0.067036375
01/07/1957,-0.585141037,0.9551556
01/08/1957,-0.063175941,-3.845006003
01/09/1957,1.219978976,-7.753310479
01/10/1957,-0.912048992,-4.41211618
01/11/1957,2.075151882,-0.853786995
01/12/1957,3.75129167,-7.111367587
01/01/1958,4.635605351,4.429725139
01/02/1958,2.739229546,-3.738534529
01/03/1958,2.462331969,-0.238247554
01/04/1958,4.113940543,-1.717536298
01/05/1958,0.888518142,2.22799963
01/06/1958,1.796700393,0.405923531
01/07/1958,0.33942167,1.935003328
01/08/1958,3.493429951,-0.750785965
01/09/1958,2.457140523,1.01802237
01/10/1958,4.114492696,-0.968940152
01/11/1958,4.058136163,-1.013023608
01/12/1958,2.058089382,-0.224535739
01/01/1959,2.704331729,-0.640466812
01/02/1959,0.460709242,1.680034417
01/03/1959,0.935322808,-0.097201038
01/04/1959,1.185368716,0.834418896
01/05/1959,-1.983331149,1.343640068
01/06/1959,0.438226882,0.885055953
01/07/1959,2.225045609,0.72105564
01/08/1959,1.415953428,-2.893597899
01/09/1959,-3.07883725,-2.693732309
01/10/1959,1.460944104,0.331990891
01/11/1959,0.694656082,0.489163647
01/12/1959,0.504812258,1.255591859
01/01/1960,-0.194746644,-6.84401318
01/02/1960,0.935041569,0.040380019
01/03/1960,-0.303111905,-2.237879513
01/04/1960,3.534264527,-5.50452325
01/05/1960,0.134439169,1.17610892
01/06/1960,3.20710497,-2.043699553
01/07/1960,2.428003005,-5.28105666
01/08/1960,3.781603871,-0.446579914
01/09/1960,-2.198489925,-3.469314005
01/10/1960,2.353156553,-5.43200719
01/11/1960,4.199929115,-0.215947349
01/12/1960,2.537229989,0.78764336
01/01/1961,5.015188699,-0.470374078
01/02/1961,2.469141849,0.714160841
01/03/1961,4.688213177,-0.008597862
01/04/1961,-0.103686089,0.950414389
01/05/1961,0.838531622,1.290937702
01/06/1961,0.065154882,-7.466790869
01/07/1961,0.884598247,-0.262111478
01/08/1961,3.547608748,-2.963891075
01/09/1961,0.861093239,-2.927819216
01/10/1961,2.786296053,-1.585744492
01/11/1961,4.894293531,-2.338461497
01/12/1961,-4.525392862,3.727703435
01/01/1962,-2.95745977,2.09161375
01/02/1962,2.308521614,-1.498359932
01/03/1962,0.389078365,-1.20774536
01/04/1962,-1.011347329,-4.176100247
01/05/1962,-8.658404923,-2.693831678
01/06/1962,-1.23303451,-3.984219469
01/07/1962,0.612335311,2.302517794
01/08/1962,1.152941322,0.159845251
01/09/1962,0.17554655,-2.863397555
01/10/1962,-1.56307865,-1.16751013
01/11/1962,0.600556224,5.259402334
01/12/1962,2.264042363,-2.703034139
01/01/1963,3.168579452,-0.24753128
01/02/1963,3.1151806,-4.744541963
01/03/1963,1.747941748,-0.815895917
01/04/1963,2.027624924,-0.097082448
01/05/1963,0.118968057,1.230990776
01/06/1963,-0.734281416,-0.927993985
01/07/1963,0.362306584,-0.889847365
01/08/1963,1.398822919,1.305868604
01/09/1963,0.554214275,-1.261766457
01/10/1963,-1.235673744,2.001155592
01/11/1963,0.297045626,-1.397903812
01/12/1963,1.273413911,-1.827844508
01/01/1964,2.598812599,-1.365130035
01/02/1964,1.152658965,0.091564098
01/03/1964,0.927099298,-0.129715361
01/04/1964,1.392162601,-1.489927657
01/05/1964,1.573781473,-1.265510767
01/06/1964,2.202491647,-2.189149594
01/07/1964,3.238019295,-1.634067842
01/08/1964,1.28762345,-1.771424737
01/09/1964,1.918075748,-0.44493998
01/10/1964,1.33865336,-0.11052108
01/11/1964,1.070773077,-1.302255686
01/12/1964,-1.045937813,-0.015694283
01/01/1965,1.42884287,1.316412328
01/02/1965,0.191267118,1.732679159
01/03/1965,0.416652882,0.16030747
01/04/1965,1.732539947,-0.541322689
01/05/1965,-1.481687525,0.962498879
01/06/1965,-1.970651832,-1.384169016
01/07/1965,0.328358289,1.256263675
01/08/1965,-2.073465671,3.538769621
01/09/1965,-1.278409009,1.905061835
01/10/1965,-1.698082963,2.925389871
01/11/1965,-1.696400223,3.137767766
01/12/1965,0.318374894,1.201707173
01/01/1966,0.580910265,0.93992965
01/02/1966,-1.704347981,2.499728543
01/03/1966,-1.819429388,1.273336944
01/04/1966,-1.124340792,2.196367504
01/05/1966,-0.652603033,-3.006455113
01/06/1966,-2.146770718,1.692445347
01/07/1966,0.831723041,-2.53813465
01/08/1966,-6.078934254,-0.419264308
01/09/1966,2.098679246,-3.612328969
01/10/1966,3.874211883,-4.361075179
01/11/1966,-2.212936235,3.33740408
01/12/1966,-0.225657843,0.908407192
01/01/1967,-0.032474328,3.202281472
01/02/1967,-2.185785006,3.831653769
01/03/1967,0.442284254,1.177974118
01/04/1967,0.19672977,1.100149482
01/05/1967,-0.969294925,0.477501967
01/06/1967,0.305127618,1.038519855
01/07/1967,0.982032501,1.313435588
01/08/1967,-0.528374381,0.686134794
01/09/1967,-1.194808417,2.689811667
01/10/1967,-1.377652669,0.379644795
01/11/1967,1.749493566,-2.174991016
01/12/1967,0.887616257,0.839196091
01/01/1968,0.988374824,-0.682460913
01/02/1968,-1.026964146,-1.97547675
01/03/1968,-0.92187855,-0.031985164
01/04/1968,0.288973401,2.958033294
01/05/1968,-0.151908587,3.022786588
01/06/1968,3.228552404,-3.286671899
01/07/1968,2.152796753,-3.547104785
01/08/1968,1.085093133,-0.302263863
01/09/1968,0.982030752,1.892252919
01/10/1968,2.858589145,-2.880968911
01/11/1968,2.55209874,0.373308346
01/12/1968,-0.875218546,0.944575245
01/01/1969,-0.302647904,0.090354051
01/02/1969,-4.654173895,-3.957800871
01/03/1969,0.127643671,0.66513555
01/04/1969,-0.998996747,1.1905356
01/05/1969,-0.498836104,0.547783086
01/06/1969,-2.345133343,-4.545491217
01/07/1969,-0.26185145,-6.331281821
01/08/1969,0.46181177,1.530084529
01/09/1969,-0.744077691,-0.453014758
01/10/1969,1.362921131,1.876268781
01/11/1969,-0.561199624,-1.76401255
01/12/1969,1.994416226,-4.679969779
01/01/1970,1.290911324,-4.633128445
01/02/1970,3.226277121,-1.983123784
01/03/1970,1.74674032,-3.28457852
01/04/1970,-0.032190167,-5.269519051
01/05/1970,-1.058026454,-1.844921511
01/06/1970,2.537045716,-5.795227153
01/07/1970,3.213180213,-2.189841632
01/08/1970,-1.647133994,3.465273489
01/09/1970,-1.669143983,4.700497069
01/10/1970,5.298316622,-7.426334987
01/11/1970,2.652582076,-3.047984899
01/12/1970,1.362336541,0.940781913
01/01/1971,-1.546607179,7.817098672
01/02/1971,-0.360671618,1.720305482
01/03/1971,-1.981968815,4.597619957
01/04/1971,0.694484705,0.002861236
01/05/1971,-1.141949518,-0.840339691
01/06/1971,0.787997869,-1.912406757
01/07/1971,2.917656013,-7.012762507
01/08/1971,-0.775315053,2.110197277
01/09/1971,-0.999285838,0.397664978
01/10/1971,-1.293994914,-0.789514738
01/11/1971,-0.223804931,-2.360612277
01/12/1971,3.313711794,2.351007252
01/01/1972,-1.452928509,4.469982377
01/02/1972,0.477161097,1.260267127
01/03/1972,-0.009297558,-0.579022027
